127.0.0.1, 2018-08-03 11:39:21, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.367000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:39:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-03 11:39:48, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-08-03 11:39:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-08-03 11:39:48, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-08-03 11:39:48, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-08-03 11:39:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-08-03 11:39:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002000
